Year,Revenue
2002,28.37
2003,32.19
2004,36.84
2005,39.79
2006,44.28
2007,51.12
2008,60.42
2009,58.44
2010,62.48
2011,69.94
2012,73.72
2013,77.85
2014,86.83
2015,93.58
2016,85.32
2017,89.95
2018,110.36
2019,125.84
2020,143.02
